Sembol,Tarih,Fiyat (Son),Sinyal,Skor (Al),Skor (Sat),Elmas Formasyonu,AlphaTrend,MA,MACD,MACD_Signal,MACD_Positive,RSI,ADX,OBV_Diff,BB_Low,BB_Mavg,BB_High,BB_W,EMA20_gt_EMA50_gt_EMA200,Dipten Uzaklık (%),ATH'ye Uzaklık (%),ATH Breakout,ATH Dip Potansiyeli,Cup&Handle Formasyonu,Bull Flag Formasyonu,TOBO Formasyonu,Gelişmiş TOBO,EW_WaveType_1d,EW_CurrentWave_1d,EW_Phase_1d,EW_LastPivotTime_1d,EW_LastPivotPrice_1d,EW_WaveType_4h,EW_CurrentWave_4h,EW_Phase_4h,EW_LastPivotTime_4h,EW_LastPivotPrice_4h,EW_Direction_1d,EW_AsOf_1d,EW_Direction_4h,EW_AsOf_4h,EMA5_137 Sinyal,EMA5_137 Sinyal_Numeric,EMA3_199 Sinyal,EMA3_199 Sinyal_Numeric,EMA3_200 Sinyal,EMA3_200 Sinyal_Numeric,SMA5_137_15m_Sinyal,SMA5_137_15m_Sinyal_Numeric,SMA5_137_15m_Sinyal_Filt,SMA5_137_15m_Sinyal_Filt_Numeric,SMA5_137_15m_CrossTime,SMA5_137_15m_BarsSinceCross,SMA5_137_1h_Sinyal,SMA5_137_1h_Sinyal_Numeric,SMA5_137_1h_Sinyal_Filt,SMA5_137_1h_Sinyal_Filt_Numeric,SMA5_137_1h_CrossTime,SMA5_137_1h_BarsSinceCross,SMA5_137_4h_Sinyal,SMA5_137_4h_Sinyal_Numeric,SMA5_137_4h_Sinyal_Filt,SMA5_137_4h_Sinyal_Filt_Numeric,SMA5_137_4h_CrossTime,SMA5_137_4h_BarsSinceCross,SMA5_137_1d_Sinyal,SMA5_137_1d_Sinyal_Numeric,SMA5_137_1d_Sinyal_Filt,SMA5_137_1d_Sinyal_Filt_Numeric,SMA5_137_1d_CrossTime,SMA5_137_1d_BarsSinceCross,CandleGoldenCross_Over,Confirmed_BUY,Confirmed_SELL,CandleGoldenCross_Over_Confirmed_BUY,Confirmed_SELL_CandleCrossUnder,STOP Fiyat,TP Fiyat,Haftalık Değişim (%),Aylık Değişim (%),Ortalama Hacim (TL),F/K,PD/DD,Yorumlar,PUANLAMA_V4,TP Oran (%),Sinyal_Sort,VolumeDeltaUp_Sort,Formasyon_Sort,FormasyonTazeKirilim,BONUS_SCORE,DipSkor,ATHSkor,OBVSkor,TazeSkor,FinalSkorEx,__FDTT_NET_TL,__FDTT_ADV7_TL,KURUM_FDTT_SINYAL,__AKD_1D_NET_TL_NORM_ND,__AKD_3D_NET_TL_NORM_ND,KURUM_AKD_SINYAL,__AKD_PUAN,__FDTT_PUAN,__KURUM_PUAN,AL_VETO_SHOCK,__TURNOVER_1D,__TURNOVER_3D,__FF_MCAP,AKD_NOTE,GUNLUK_FARK,__FDTT_NET_PP,__FDTT_NET_TL_NORM,__AKD_RECENCY_COMBO,KURUM_AKD_SKOR,FinalSkorPlus,Kural,Kural_Adi,Kural_Listesi,Kural_Sayisi,KaynakReiter
AKGRT,2025-12-16,7.3,50,4,0,0,6.87,6.89,0.1,0.03,1,65.69,28.43,27791111.0,6.46,6.83,7.19,10.72,1,32.01,11.84,0,0,1,0,0,0,ImpulseUp,5,Başlangıç,2025-12-05 00:00,6.58,ImpulseUp,3,Başlangıç,2025-12-10 12:00,6.86,up,2025-12-16 00:00,up,2025-12-16 12:00,-,0,-,0,-,0,-,0,AL,50,2025-12-12 08:00,93,-,0,AL,50,2025-12-08 06:30,62.0,-,0,AL,50,2025-12-05 12:00,21.0,-,0,AL,50,2025-10-22 00:00,39.0,0,1,0,0,0,7.02,7.58,5.49,5.04,76713890,7.0192313,2.31,"EMA20 > EMA50 > EMA200 (Güçlü trend) | ATR Oranı düşük (2.55%) | Gelişmiş Cup & Handle | ATR STOP: 7.02, TP: 7.58 | 1H:%5.49 | 1A:%5.04 | Confirmed BUY (alphaTrend teyidi) | Volume Delta pozitif",9,3.84,2,1,1,0,0,-32.01,-11.84,27791111.0,0,9.2,729910188.65,103499092.57,True,0.11,0.03,True,3.0,3.0,3.0,False,0.06,0.14,3294131562.7,AKD pozitif (1g norm),3.84,22.16,7.05,0.08,62.0,71.2,KURAL5_FinalPlus_Combo,FinalPlus(desc) > PUANLAMA_V4(desc) > EMA5_137 Sinyal_Numeric(desc) > VolDelta(desc) > RSI(desc) > ATH uzaklık(asc) > ATHSkor(desc) > FinalSkorEx(asc),"KURAL1_Puan_FinalEx,KURAL2_EMA_Puan,KURAL4_Puan_Vol,KURAL5_FinalPlus_Combo",4,FinalPlus(desc) > PUANLAMA_V4(desc) > EMA5_137 Sinyal_Numeric(desc) > VolDelta(desc) > RSI(desc) > ATH uzaklık(asc) > ATHSkor(desc) > FinalSkorEx(asc)
KOPOL,2025-12-16,6.1,100,3,0,0,5.76,5.88,-0.08,-0.19,1,55.06,25.23,29019290.0,5.34,5.75,6.17,14.45,0,33.48,21.79,0,100,1,0,1,0,ImpulseDown,5,Orta,2025-12-15 00:00,6.67,,-,Orta,,,down,2025-12-16 00:00,,,-,0,AL,50,AL,50,-,0,AL,50,2025-12-05 13:00,238,-,0,-,0,,,-,0,-,0,,,-,0,SAT,-50,2025-11-25 00:00,15.0,0,1,0,0,0,5.67,6.53,7.39,-1.93,81919723,55.454544,1.82,"ATR Oranı düşük (4.71%) | Gelişmiş TOBO formasyonu | Gelişmiş Cup & Handle | ATR STOP: 5.67, TP: 6.53 | 1H:%7.39 | 1A:%-1.93 | Confirmed BUY (alphaTrend teyidi) | Volume Delta pozitif",8,7.05,1,1,1,1,0,-33.48,-21.79,29019290.0,5,6.77,1319805890.07,95729377.29,True,-0.02,-0.02,False,0.0,3.0,1.0,False,0.11,0.37,1624174196.5,AKD nötr/negatif,0.83,81.26,13.79,-0.02,24.0,30.77,KURAL5_FinalPlus_Combo,FinalPlus(desc) > PUANLAMA_V4(desc) > EMA5_137 Sinyal_Numeric(desc) > VolDelta(desc) > RSI(desc) > ATH uzaklık(asc) > ATHSkor(desc) > FinalSkorEx(asc),"KURAL1_Puan_FinalEx,KURAL2_EMA_Puan,KURAL4_Puan_Vol,KURAL5_FinalPlus_Combo",4,FinalPlus(desc) > PUANLAMA_V4(desc) > EMA5_137 Sinyal_Numeric(desc) > VolDelta(desc) > RSI(desc) > ATH uzaklık(asc) > ATHSkor(desc) > FinalSkorEx(asc)
VBTYZ,2025-12-16,16.11,0,0,0,0,16.25,16.16,-0.45,-0.62,1,43.27,25.25,2260098.0,15.15,15.96,16.76,10.05,0,4.47,37.9,0,100,1,0,0,0,ImpulseDown,5,Orta,2025-12-12 00:00,17.31,ImpulseDown,3,Başlangıç,2025-12-09 08:00,15.96,down,2025-12-16 00:00,down,2025-12-16 12:00,-,0,-,0,-,0,-,0,AL,50,2025-12-16 13:30,5,-,0,AL,50,2025-12-12 06:30,26.0,-,0,SAT,-50,2025-08-28 04:00,232.0,-,0,SAT,-50,2025-09-29 00:00,56.0,0,0,0,0,0,15.25,16.97,1.83,-7.2,28086698,0.0,1.91,"ATR Oranı düşük (3.56%) | Gelişmiş Cup & Handle | ATR STOP: 15.25, TP: 16.97 | 1H:%1.83 | 1A:%-7.2",5,5.34,0,0,1,0,0,-4.47,-37.9,2260098.0,0,14.19,45519525.29,24831321.0,True,0.02,0.01,False,0.0,3.0,1.0,False,0.04,0.19,849661714.71,AKD nötr/negatif,0.81,5.36,1.83,0.02,16.0,30.19,KURAL_DIP_STRICT,"Dip<=10, ATH uzak>=30, Aylık<=20, Son5g (0,15]; FinalSkorPlus(desc, ops) > EMA5_137 Sinyal_Numeric(desc) > VolDelta(desc) > PUANLAMA_V4(desc) > FinalSkorEx(asc)","KURAL2_EMA_Puan,KURAL5_FinalPlus_Combo,KURAL_DIP_STRICT",3,"Dip<=10, ATH uzak>=30, Aylık<=20, Son5g (0,15]; FinalSkorPlus(desc, ops) > EMA5_137 Sinyal_Numeric(desc) > VolDelta(desc) > PUANLAMA_V4(desc) > FinalSkorEx(asc)"
KARTN,2025-12-16,82.7,0,0,0,1,81.37,82.38,0.22,0.21,1,51.11,28.99,-117441.0,77.67,81.78,85.89,10.05,0,8.25,35.64,0,100,1,0,0,0,ImpulseDown,5,Orta,2025-12-01 00:00,86.15,ImpulseUp,3,Yükseliş Başlangıcı,2025-12-11 04:00,81.9,down,2025-12-16 00:00,up,2025-12-16 12:00,-,0,-,0,-,0,-,0,AL,50,2025-12-16 11:45,12,-,0,AL,50,2025-11-28 13:30,109.0,-,0,AL,50,2025-12-01 08:00,34.0,-,0,SAT,-50,2025-11-10 00:00,26.0,0,0,0,0,0,78.62,86.78,1.1,1.22,23414599,0.0,2.29,"ATR Oranı düşük (3.29%) | Gelişmiş Cup & Handle | Gelişmiş Elmas | ATR STOP: 78.62, TP: 86.78 | 1H:%1.1 | 1A:%1.22",5,4.93,0,0,1,0,0,-8.25,-35.64,-117441.0,0,9.69,153487705.91,18177225.43,True,-0.02,0.02,False,0.0,3.0,1.0,False,0.01,0.03,1348731805.6,AKD nötr/negatif,-0.96,11.38,8.44,-0.01,20.0,29.69,KURAL_DIP_STRICT,"Dip<=10, ATH uzak>=30, Aylık<=20, Son5g (0,15]; FinalSkorPlus(desc, ops) > EMA5_137 Sinyal_Numeric(desc) > VolDelta(desc) > PUANLAMA_V4(desc) > FinalSkorEx(asc)","KURAL2_EMA_Puan,KURAL5_FinalPlus_Combo,KURAL_DIP_STRICT",3,"Dip<=10, ATH uzak>=30, Aylık<=20, Son5g (0,15]; FinalSkorPlus(desc, ops) > EMA5_137 Sinyal_Numeric(desc) > VolDelta(desc) > PUANLAMA_V4(desc) > FinalSkorEx(asc)"
SARKY,2025-12-16,16.6,50,4,0,0,16.01,15.83,0.41,0.27,1,64.02,21.63,-2899007.0,14.39,15.64,16.89,16.0,1,61.42,1.78,100,0,1,0,1,0,ImpulseUp,2,Düşüş Başlangıcı,2025-10-09 00:00,15.71,ImpulseUp,5,Başlangıç,2025-12-10 08:00,15.48,up,2025-12-16 00:00,up,2025-12-16 12:00,-,0,-,0,-,0,-,0,AL,50,2025-12-12 07:15,96,-,0,AL,50,2025-12-03 08:30,87.0,-,0,AL,50,2025-12-02 08:00,31.0,-,0,AL,50,2025-07-14 00:00,110.0,0,1,0,0,0,15.82,17.38,4.21,9.79,32068556,inf,1.44,"EMA20 > EMA50 > EMA200 (Güçlü trend) | ATH Breakout! (uzaklık %1.78) | ATR Oranı düşük (3.15%) | Gelişmiş TOBO formasyonu | Gelişmiş Cup & Handle | ATR STOP: 15.82, TP: 17.38 | 1H:%4.21 | 1A:%9.79 | Confirmed BUY (alphaTrend teyidi)",8,4.7,2,0,1,0,0,-61.42,-1.78,-2899007.0,0,-27.37,4385493838.73,39041826.57,True,0.08,0.05,True,2.0,3.0,2.0,False,0.0,0.01,13585965307.0,AKD pozitif (1g norm),-1.54,32.28,112.33,0.07,55.0,27.63,KURAL5_FinalPlus_Combo,FinalPlus(desc) > PUANLAMA_V4(desc) > EMA5_137 Sinyal_Numeric(desc) > VolDelta(desc) > RSI(desc) > ATH uzaklık(asc) > ATHSkor(desc) > FinalSkorEx(asc),"KURAL1_Puan_FinalEx,KURAL4_Puan_Vol,KURAL5_FinalPlus_Combo",3,FinalPlus(desc) > PUANLAMA_V4(desc) > EMA5_137 Sinyal_Numeric(desc) > VolDelta(desc) > RSI(desc) > ATH uzaklık(asc) > ATHSkor(desc) > FinalSkorEx(asc)
BMSCH,2025-12-16,27.38,50,4,0,0,25.06,24.21,1.78,1.71,1,69.29,53.37,4214605.0,19.01,23.81,28.62,40.36,1,195.01,0.0,100,0,1,0,0,0,ImpulseUp,5,Başlangıç,2025-11-19 00:00,19.26,ImpulseUp,2,Düşüş Başlangıcı,2025-11-27 04:00,21.86,up,2025-12-16 00:00,up,2025-12-16 12:00,-,0,-,0,-,0,-,0,AL,50,2025-12-11 10:30,116,-,0,AL,50,2025-11-27 06:30,125.0,-,0,AL,50,2025-10-02 08:00,156.0,-,0,-,0,,,0,1,0,0,0,24.81,29.95,9.17,33.17,118482479,0.0,1.87,"EMA20 > EMA50 > EMA200 (Güçlü trend) | ATH Breakout! (uzaklık %0.0) | ATR Oranı düşük (6.25%) | Gelişmiş Cup & Handle | ATR STOP: 24.81, TP: 29.95 | 1H:%9.17 | 1A:%33.17 | Confirmed BUY (alphaTrend teyidi)",10,9.39,2,0,1,0,0,-195.01,-0.0,4214605.0,0,-148.35,1377693561.25,146276839.29,True,-0.06,0.0,False,0.0,3.0,1.0,False,0.07,0.21,1727870262.36,AKD nötr/negatif,0.37,79.73,9.42,-0.04,25.0,-123.35,KURAL4_Puan_Vol,"PUANLAMA_V4 desc, FinalSkorPlus(desc, ops), VolumeDeltaUp_Sort desc","KURAL1_Puan_FinalEx,KURAL3_Dip_EMA,KURAL4_Puan_Vol",3,"PUANLAMA_V4 desc, FinalSkorPlus(desc, ops), VolumeDeltaUp_Sort desc"
CVKMD,2025-12-16,23.2,50,4,0,0,20.73,19.82,0.96,0.34,1,73.12,32.29,51764815.0,14.95,18.86,22.78,41.49,1,190.45,0.0,100,0,1,0,0,0,ImpulseUp,5,Başlangıç,2025-11-24 00:00,16.47,,-,Orta,,,up,2025-12-16 00:00,,,-,0,-,0,-,0,-,0,AL,50,2025-12-15 13:00,40,-,0,-,0,,,-,0,-,0,,,-,0,-,0,,,0,0,0,0,0,21.56,24.84,12.29,30.26,533343739,0.0,3.75,"EMA20 > EMA50 > EMA200 (Güçlü trend) | ATH Breakout! (uzaklık %0.0) | ATR Oranı düşük (4.73%) | Gelişmiş Cup & Handle | ATR STOP: 21.56, TP: 24.84 | 1H:%12.29 | 1A:%30.26 | Volume Delta pozitif",9,7.07,2,1,1,0,0,-190.45,-0.0,51764815.0,0,-146.71,2669627701.67,689739018.86,True,0.04,0.0,False,0.0,3.0,1.0,False,0.12,0.44,9728427394.4,AKD nötr/negatif,6.42,27.44,3.87,0.03,22.0,-124.71,KURAL4_Puan_Vol,"PUANLAMA_V4 desc, FinalSkorPlus(desc, ops), VolumeDeltaUp_Sort desc","KURAL1_Puan_FinalEx,KURAL3_Dip_EMA,KURAL4_Puan_Vol",3,"PUANLAMA_V4 desc, FinalSkorPlus(desc, ops), VolumeDeltaUp_Sort desc"
KUYAS,2025-12-16,57.75,50,4,0,0,53.76,48.82,2.47,0.03,1,72.97,25.07,10038027.0,35.85,46.98,58.1,47.36,1,217.66,18.37,0,0,1,0,0,0,ImpulseDown,2,Yükseliş Başlangıcı,2025-10-21 00:00,44.8,ImpulseUp,2,Düşüş Başlangıcı,2025-12-03 08:00,41.9,down,2025-12-16 00:00,up,2025-12-16 12:00,-,0,-,0,-,0,-,0,AL,50,2025-12-05 10:30,248,-,0,AL,50,2025-12-09 09:30,50.0,-,0,AL,50,2025-12-10 08:00,13.0,AL,50,AL,50,2025-12-16 00:00,0.0,1,1,0,1,0,53.06,62.44,9.48,40.17,666126313,82.5,8.57,"EMA20 > EMA50 > EMA200 (Güçlü trend) | ATR Oranı düşük (5.41%) | Gelişmiş Cup & Handle | ATR STOP: 53.06, TP: 62.44 | 1H:%9.48 | 1A:%40.17 | Confirmed BUY (alphaTrend teyidi) | GoldenCross + Confirmed BUY",12,8.12,2,0,1,0,0,-217.66,-18.37,10038027.0,0,-166.17,2605906752.46,603540072.29,True,0.01,-0.03,False,0.0,3.0,1.0,False,0.03,0.11,23038541699.25,AKD nötr/negatif,0.96,11.31,4.32,-0.0,24.0,-142.17,KURAL4_Puan_Vol,"PUANLAMA_V4 desc, FinalSkorPlus(desc, ops), VolumeDeltaUp_Sort desc","KURAL1_Puan_FinalEx,KURAL3_Dip_EMA,KURAL4_Puan_Vol",3,"PUANLAMA_V4 desc, FinalSkorPlus(desc, ops), VolumeDeltaUp_Sort desc"
TDGYO,2025-12-16,39.56,50,4,0,0,36.87,33.46,2.47,1.62,1,82.78,40.71,945395.0,26.82,32.75,38.69,36.24,1,259.64,0.0,100,0,0,0,0,0,ImpulseUp,5,Başlangıç,2025-11-19 00:00,27.32,ImpulseUp,4,Düşüş Başlangıcı,2025-12-05 04:00,31.88,up,2025-12-16 00:00,up,2025-12-16 12:00,-,0,-,0,-,0,-,0,AL,50,2025-12-05 13:45,235,-,0,AL,50,2025-12-04 13:30,73.0,-,0,AL,50,2025-07-18 12:00,317.0,-,0,AL,50,2025-07-22 00:00,105.0,0,1,0,0,0,37.01,42.11,19.66,23.7,36909702,0.0,7.86,"EMA20 > EMA50 > EMA200 (Güçlü trend) | ATH Breakout! (uzaklık %0.0) | ATR Oranı düşük (4.3%) | ATR STOP: 37.01, TP: 42.11 | 1H:%19.66 | 1A:%23.7 | Confirmed BUY (alphaTrend teyidi)",9,6.45,2,0,0,0,0,-259.64,-0.0,945395.0,0,-217.91,754460917.25,31300362.29,True,-0.07,-0.01,False,-2.0,3.0,0.0,False,0.02,0.06,2329509628.36,AKD nötr/negatif,0.82,32.39,24.1,-0.05,13.0,-204.91,KURAL4_Puan_Vol,"PUANLAMA_V4 desc, FinalSkorPlus(desc, ops), VolumeDeltaUp_Sort desc","KURAL1_Puan_FinalEx,KURAL3_Dip_EMA,KURAL4_Puan_Vol",3,"PUANLAMA_V4 desc, FinalSkorPlus(desc, ops), VolumeDeltaUp_Sort desc"
DITAS,2025-12-16,46.2,50,4,0,0,41.2,39.87,2.51,2.38,1,74.88,39.36,3481934.0,35.39,40.02,44.66,23.16,1,300.69,0.0,100,0,1,0,0,0,ImpulseUp,3,Başlangıç,2025-09-02 00:00,32.46,ImpulseUp,3,Başlangıç,2025-12-08 04:00,38.4,up,2025-12-16 00:00,up,2025-12-16 12:00,-,0,-,0,-,0,-,0,AL,50,2025-12-15 08:30,58,-,0,AL,50,2025-10-28 07:30,302.0,-,0,AL,50,2025-11-07 12:00,81.0,-,0,AL,50,2025-10-24 00:00,37.0,0,0,0,0,0,42.27,50.13,14.07,20.44,69681209,0.0,3.98,"EMA20 > EMA50 > EMA200 (Güçlü trend) | ATH Breakout! (uzaklık %0.0) | ATR Oranı düşük (5.67%) | Gelişmiş Cup & Handle | ATR STOP: 42.27, TP: 50.13 | 1H:%14.07 | 1A:%20.44 | Volume Delta pozitif",9,8.51,2,1,1,0,0,-300.69,-0.0,3481934.0,0,-258.12,1407315379.92,58255689.14,True,-0.01,-0.01,False,0.0,3.0,1.0,False,0.12,0.24,1279234572.0,AKD nötr/negatif,4.81,110.01,24.16,-0.01,19.0,-239.12,KURAL4_Puan_Vol,"PUANLAMA_V4 desc, FinalSkorPlus(desc, ops), VolumeDeltaUp_Sort desc","KURAL1_Puan_FinalEx,KURAL3_Dip_EMA,KURAL4_Puan_Vol",3,"PUANLAMA_V4 desc, FinalSkorPlus(desc, ops), VolumeDeltaUp_Sort desc"
