rule_type,level,N_raw,Lift_raw,Ret_Mean_raw,TopRate_raw,N_rows,conditions,N_5,Mean_5,Std_5,Min_5,NegRatio_5,HitRate5,NumSymbols_5,N_15,Mean_15,Std_15,Min_15,NegRatio_15,Complexity,PatternScore5,PatternScore15,Skor_5D_Dusuk,Skor_5D_Yuksek,Skor_15D_Dusuk
pair,pair,168,0.2214285714285714,10.593026164355106,0.3214285714285714,168,"[{'col': 'EW_AsOf_1d', 'op': '==', 'val': '2025-10-21 00:00'}, {'col': 'EW_Direction_1d', 'op': '==', 'val': 'up'}]",168,10.593026164355106,9.186171742644058,-9.963099630996314,0.07142857142857142,0.125,168,168,15.849744471157734,17.623962109193524,-9.963099630996314,0.05952380952380952,2,29.707213395642313,37.04837100121978,4.162705944504265,8.755791815826294,3.5129709947222683
pair,pair,168,0.2214285714285714,10.593026164355106,0.3214285714285714,168,"[{'col': 'EW_AsOf_1d', 'op': '==', 'val': '2025-10-21 00:00'}, {'col': 'EW_WaveType_1d', 'op': '==', 'val': 'ImpulseUp'}]",168,10.593026164355106,9.186171742644058,-9.963099630996314,0.07142857142857142,0.125,168,168,15.849744471157734,17.623962109193524,-9.963099630996314,0.05952380952380952,2,29.707213395642313,37.04837100121978,4.162705944504265,8.755791815826294,3.5129709947222683
categorical,single,325,0.1892307692307692,10.22527849789748,0.2892307692307692,325,"[{'col': 'EW_AsOf_4h', 'op': '==', 'val': '2025-10-22 12:00'}]",325,10.22527849789748,9.763249426154262,-66.34387351778656,0.043076923076923075,0.11384615384615385,325,325,13.371634022675234,14.376717015968483,-66.34387351778656,0.036923076923076927,1,48.60431197269898,48.97648978698952,3.3910038995894958,8.272628612666626,3.3079321114972977
pair,pair,325,0.1892307692307692,10.22527849789748,0.2892307692307692,325,"[{'col': 'EW_AsOf_4h', 'op': '==', 'val': '2025-10-22 12:00'}, {'col': 'EW_AsOf_1d', 'op': '==', 'val': '2025-10-22 00:00'}]",325,10.22527849789748,9.763249426154262,-66.34387351778656,0.043076923076923075,0.11384615384615385,325,325,13.371634022675234,14.376717015968483,-66.34387351778656,0.036923076923076927,2,48.60431197269898,48.97648978698952,3.3910038995894958,8.272628612666626,3.3079321114972977
categorical,single,325,0.0661538461538461,13.371634022675234,0.1661538461538461,325,"[{'col': 'EW_AsOf_4h', 'op': '==', 'val': '2025-10-22 12:00'}]",325,10.22527849789748,9.763249426154262,-66.34387351778656,0.043076923076923075,0.11384615384615385,325,325,13.371634022675234,14.376717015968483,-66.34387351778656,0.036923076923076927,1,48.60431197269898,48.97648978698952,3.3910038995894958,8.272628612666626,3.3079321114972977
categorical,single,325,0.2046153846153846,10.676179006711669,0.3046153846153846,325,"[{'col': 'EW_AsOf_4h', 'op': '==', 'val': '2025-10-21 12:00'}]",325,10.676179006711669,8.878718640080823,-9.999999999999991,0.04,0.1076923076923077,325,325,14.359791770471945,14.65417645118075,-9.999999999999991,0.033846153846153845,1,50.57297042822795,52.24157061170932,4.461075958655093,8.900435278695504,4.101868254645421
pair,pair,325,0.2046153846153846,10.676179006711669,0.3046153846153846,325,"[{'col': 'EW_AsOf_4h', 'op': '==', 'val': '2025-10-21 12:00'}, {'col': 'EW_AsOf_1d', 'op': '==', 'val': '2025-10-21 00:00'}]",325,10.676179006711669,8.878718640080823,-9.999999999999991,0.04,0.1076923076923077,325,325,14.359791770471945,14.65417645118075,-9.999999999999991,0.033846153846153845,2,50.57297042822795,52.24157061170932,4.461075958655093,8.900435278695504,4.101868254645421
categorical,single,325,0.0569230769230769,14.359791770471944,0.1569230769230769,325,"[{'col': 'EW_AsOf_4h', 'op': '==', 'val': '2025-10-21 12:00'}]",325,10.676179006711669,8.878718640080823,-9.999999999999991,0.04,0.1076923076923077,325,325,14.359791770471945,14.65417645118075,-9.999999999999991,0.033846153846153845,1,50.57297042822795,52.24157061170932,4.461075958655093,8.900435278695504,4.101868254645421
pair,pair,229,0.1925764192139738,10.585778974476296,0.2925764192139738,229,"[{'col': 'EW_AsOf_4h', 'op': '==', 'val': '2025-10-22 12:00'}, {'col': 'EW_Direction_4h', 'op': '==', 'val': 'down'}]",229,10.585778974476295,7.971748785562235,-5.365126676602078,0.026200873362445413,0.10480349344978165,229,229,13.279359797991667,12.15068150729989,-5.365126676602078,0.026200873362445413,2,54.186004702057815,50.71333359292019,5.005554824582731,8.991429217363848,4.773882742881744
pair,pair,229,0.1925764192139738,10.585778974476296,0.2925764192139738,229,"[{'col': 'EW_AsOf_4h', 'op': '==', 'val': '2025-10-22 12:00'}, {'col': 'EW_WaveType_4h', 'op': '==', 'val': 'ImpulseDown'}]",229,10.585778974476295,7.971748785562235,-5.365126676602078,0.026200873362445413,0.10480349344978165,229,229,13.279359797991667,12.15068150729989,-5.365126676602078,0.026200873362445413,2,54.186004702057815,50.71333359292019,5.005554824582731,8.991429217363848,4.773882742881744
pair,pair,229,0.1925764192139738,10.585778974476296,0.2925764192139738,229,"[{'col': 'EW_AsOf_1d', 'op': '==', 'val': '2025-10-22 00:00'}, {'col': 'EW_Direction_4h', 'op': '==', 'val': 'down'}]",229,10.585778974476295,7.971748785562235,-5.365126676602078,0.026200873362445413,0.10480349344978165,229,229,13.279359797991667,12.15068150729989,-5.365126676602078,0.026200873362445413,2,54.186004702057815,50.71333359292019,5.005554824582731,8.991429217363848,4.773882742881744
pair,pair,229,0.1925764192139738,10.585778974476296,0.2925764192139738,229,"[{'col': 'EW_AsOf_1d', 'op': '==', 'val': '2025-10-22 00:00'}, {'col': 'EW_WaveType_4h', 'op': '==', 'val': 'ImpulseDown'}]",229,10.585778974476295,7.971748785562235,-5.365126676602078,0.026200873362445413,0.10480349344978165,229,229,13.279359797991667,12.15068150729989,-5.365126676602078,0.026200873362445413,2,54.186004702057815,50.71333359292019,5.005554824582731,8.991429217363848,4.773882742881744
pair,pair,242,0.2264462809917355,11.03128301824211,0.3264462809917355,242,"[{'col': 'EW_AsOf_4h', 'op': '==', 'val': '2025-10-21 12:00'}, {'col': 'EW_Direction_4h', 'op': '==', 'val': 'down'}]",242,11.03128301824211,8.224164660517097,-9.999999999999991,0.012396694214876033,0.10330578512396695,242,242,14.589240168716275,13.558177920106768,-9.999999999999991,0.008264462809917356,2,62.17502522067125,62.6140350769004,5.274367755880142,9.38645008613869,5.0985156246415375
pair,pair,242,0.2264462809917355,11.03128301824211,0.3264462809917355,242,"[{'col': 'EW_AsOf_4h', 'op': '==', 'val': '2025-10-21 12:00'}, {'col': 'EW_WaveType_4h', 'op': '==', 'val': 'ImpulseDown'}]",242,11.03128301824211,8.224164660517097,-9.999999999999991,0.012396694214876033,0.10330578512396695,242,242,14.589240168716275,13.558177920106768,-9.999999999999991,0.008264462809917356,2,62.17502522067125,62.6140350769004,5.274367755880142,9.38645008613869,5.0985156246415375
pair,pair,242,0.2264462809917355,11.03128301824211,0.3264462809917355,242,"[{'col': 'EW_AsOf_1d', 'op': '==', 'val': '2025-10-21 00:00'}, {'col': 'EW_Direction_4h', 'op': '==', 'val': 'down'}]",242,11.03128301824211,8.224164660517097,-9.999999999999991,0.012396694214876033,0.10330578512396695,242,242,14.589240168716275,13.558177920106768,-9.999999999999991,0.008264462809917356,2,62.17502522067125,62.6140350769004,5.274367755880142,9.38645008613869,5.0985156246415375
pair,pair,242,0.2264462809917355,11.03128301824211,0.3264462809917355,242,"[{'col': 'EW_AsOf_1d', 'op': '==', 'val': '2025-10-21 00:00'}, {'col': 'EW_WaveType_4h', 'op': '==', 'val': 'ImpulseDown'}]",242,11.03128301824211,8.224164660517097,-9.999999999999991,0.012396694214876033,0.10330578512396695,242,242,14.589240168716275,13.558177920106768,-9.999999999999991,0.008264462809917356,2,62.17502522067125,62.6140350769004,5.274367755880142,9.38645008613869,5.0985156246415375
categorical,single,359,0.1869080779944289,10.038258855402646,0.2869080779944289,359,"[{'col': 'EW_AsOf_1d', 'op': '==', 'val': '2025-10-22 00:00'}]",359,10.038258855402646,9.483495418815995,-66.34387351778656,0.04735376044568245,0.10306406685236769,359,359,12.989354858944637,13.906854363319537,-66.34387351778656,0.04178272980501393,1,46.61704022781353,46.66599844710822,3.399812062231449,8.141559771639447,3.254556804620961
categorical,single,359,0.0559888579387186,12.989354858944637,0.1559888579387186,359,"[{'col': 'EW_AsOf_1d', 'op': '==', 'val': '2025-10-22 00:00'}]",359,10.038258855402646,9.483495418815995,-66.34387351778656,0.04735376044568245,0.10306406685236769,359,359,12.989354858944637,13.906854363319537,-66.34387351778656,0.04178272980501393,1,46.61704022781353,46.66599844710822,3.399812062231449,8.141559771639447,3.254556804620961
categorical,single,359,0.198050139275766,10.399165529355066,0.298050139275766,359,"[{'col': 'EW_AsOf_1d', 'op': '==', 'val': '2025-10-21 00:00'}]",359,10.399165529355066,8.657851439508633,-9.999999999999991,0.05013927576601671,0.09749303621169916,359,359,13.862173263959875,14.183223402015667,-9.999999999999991,0.04456824512534819,1,45.542801352948274,46.81458286883655,4.338669521699024,8.66759524145334,3.9339168825489086
categorical,single,359,0.0476323119777158,13.862173263959876,0.1476323119777158,359,"[{'col': 'EW_AsOf_1d', 'op': '==', 'val': '2025-10-21 00:00'}]",359,10.399165529355066,8.657851439508633,-9.999999999999991,0.05013927576601671,0.09749303621169916,359,359,13.862173263959875,14.183223402015667,-9.999999999999991,0.04456824512534819,1,45.542801352948274,46.81458286883655,4.338669521699024,8.66759524145334,3.9339168825489086
