rule_type,conditions,N,Ret_Mean,TopRate,Lift,level
categorical,"[{""col"": ""EW_AsOf_4h"", ""op"": ""=="", ""val"": ""2025-10-21 12:00""}]",325,10.676179006711669,0.3046153846153846,0.20461538461538462,single
categorical,"[{""col"": ""EW_AsOf_1d"", ""op"": ""=="", ""val"": ""2025-10-21 00:00""}]",359,10.399165529355066,0.298050139275766,0.198050139275766,single
categorical,"[{""col"": ""EW_AsOf_4h"", ""op"": ""=="", ""val"": ""2025-10-22 12:00""}]",325,10.22527849789748,0.28923076923076924,0.18923076923076923,single
categorical,"[{""col"": ""EW_AsOf_1d"", ""op"": ""=="", ""val"": ""2025-10-22 00:00""}]",359,10.038258855402646,0.28690807799442897,0.18690807799442896,single
categorical,"[{""col"": ""EW_AsOf_4h"", ""op"": ""=="", ""val"": ""2025-10-20 12:00""}]",325,8.767501303220616,0.21846153846153846,0.11846153846153845,single
categorical,"[{""col"": ""EW_AsOf_1d"", ""op"": ""=="", ""val"": ""2025-10-20 00:00""}]",359,8.57306328395756,0.21448467966573817,0.11448467966573816,single
categorical,"[{""col"": ""EW_AsOf_4h"", ""op"": ""=="", ""val"": ""2025-10-28 08:00""}]",325,7.497608903989662,0.19076923076923077,0.09076923076923077,single
categorical,"[{""col"": ""EW_AsOf_1d"", ""op"": ""=="", ""val"": ""2025-10-28 00:00""}]",360,7.202308544889783,0.175,0.07499999999999998,single
categorical,"[{""col"": ""EW_AsOf_4h"", ""op"": ""=="", ""val"": ""2025-10-24 12:00""}]",324,7.883475791921905,0.1728395061728395,0.07283950617283949,single
categorical,"[{""col"": ""EW_Phase_1d"", ""op"": ""=="", ""val"": ""Yükseliş Başlangıcı""}]",782,5.560301217380566,0.17135549872122763,0.07135549872122762,single
categorical,"[{""col"": ""EW_Direction_1d"", ""op"": ""=="", ""val"": ""up""}]",2400,5.444736517957863,0.16958333333333334,0.06958333333333333,single
categorical,"[{""col"": ""EW_WaveType_1d"", ""op"": ""=="", ""val"": ""ImpulseUp""}]",2480,5.38021776926385,0.1685483870967742,0.06854838709677419,single
numeric_bin,"[{""col"": ""DipSkor"", ""op"": ""in_bin"", ""val"": {""left"": -1026.3709999999999, ""right"": -64.61, ""closed"": ""right""}}]",3143,5.02622708092084,0.16703786191536749,0.06703786191536748,single
numeric_bin,"[{""col"": ""Dipten Uzaklık (%)"", ""op"": ""in_bin"", ""val"": {""left"": 64.61, ""right"": 1026.37, ""closed"": ""right""}}]",3144,5.028544790074934,0.16698473282442747,0.06698473282442746,single
categorical,"[{""col"": ""EW_AsOf_1d"", ""op"": ""=="", ""val"": ""2025-10-24 00:00""}]",360,7.636091728619709,0.1638888888888889,0.06388888888888888,single
numeric_bin,"[{""col"": ""FinalSkorEx"", ""op"": ""in_bin"", ""val"": {""left"": -978.481, ""right"": -52.5, ""closed"": ""right""}}]",3143,4.992718571862214,0.1635380209990455,0.06353802099904549,single
categorical,"[{""col"": ""SMA5_137_1d_Sinyal_Filt"", ""op"": ""=="", ""val"": ""-""}]",933,4.789757328821644,0.15541264737406216,0.05541264737406215,single
categorical,"[{""col"": ""SMA5_137_1d_Sinyal_Filt_Numeric"", ""op"": ""=="", ""val"": 0.0}]",933,4.789757328821644,0.15541264737406216,0.05541264737406215,single
numeric_bin,"[{""col"": ""TP Oran (%)"", ""op"": ""in_bin"", ""val"": {""left"": 7.66, ""right"": 52.4, ""closed"": ""right""}}]",3141,4.712184915780166,0.1518624641833811,0.051862464183381085,single
categorical,"[{""col"": ""EW_Phase_4h"", ""op"": ""=="", ""val"": ""Düşüş Başlangıcı""}]",1139,5.102822245873291,0.14925373134328357,0.04925373134328356,single
binary,"[{""col"": ""FormasyonTazeKirilim"", ""op"": ""=="", ""val"": 1}]",190,3.6201381485679853,0.14736842105263157,0.04736842105263156,single
categorical,"[{""col"": ""EW_AsOf_1d"", ""op"": ""=="", ""val"": ""2025-10-17 00:00""}]",361,6.96291580044819,0.14681440443213298,0.04681440443213297,single
categorical,"[{""col"": ""SMA5_137_4h_Sinyal_Filt"", ""op"": ""=="", ""val"": ""AL""}]",2098,4.439794038073927,0.14394661582459486,0.04394661582459486,single
categorical,"[{""col"": ""SMA5_137_4h_Sinyal_Filt_Numeric"", ""op"": ""=="", ""val"": 50.0}]",2098,4.439794038073927,0.14394661582459486,0.04394661582459486,single
categorical,"[{""col"": ""EW_Direction_4h"", ""op"": ""=="", ""val"": ""down""}]",2640,5.568445895492024,0.14393939393939395,0.043939393939393945,single
categorical,"[{""col"": ""EW_AsOf_4h"", ""op"": ""=="", ""val"": ""2025-10-17 12:00""}]",327,7.061055132652807,0.1437308868501529,0.04373088685015289,single
categorical,"[{""col"": ""EW_CurrentWave_4h"", ""op"": ""=="", ""val"": ""2""}]",1392,5.0080542803174986,0.14295977011494254,0.042959770114942536,single
categorical,"[{""col"": ""EW_WaveType_4h"", ""op"": ""=="", ""val"": ""ImpulseDown""}]",2784,5.48673814745259,0.14188218390804597,0.04188218390804596,single
numeric_bin,"[{""col"": ""Sinyal"", ""op"": ""in_bin"", ""val"": {""left"": 0.0, ""right"": 100.0, ""closed"": ""right""}}]",2334,4.375711889555344,0.1379605826906598,0.0379605826906598,single
numeric_bin,"[{""col"": ""ADX"", ""op"": ""in_bin"", ""val"": {""left"": 25.36, ""right"": 85.7, ""closed"": ""right""}}]",3141,4.230182604645268,0.13658070678127984,0.03658070678127984,single
pair,"[{""col"": ""EW_AsOf_4h"", ""op"": ""=="", ""val"": ""2025-10-21 12:00""}, {""col"": ""EW_Direction_4h"", ""op"": ""=="", ""val"": ""down""}]",242,11.03128301824211,0.32644628099173556,0.22644628099173555,pair
pair,"[{""col"": ""EW_AsOf_4h"", ""op"": ""=="", ""val"": ""2025-10-21 12:00""}, {""col"": ""EW_WaveType_4h"", ""op"": ""=="", ""val"": ""ImpulseDown""}]",242,11.03128301824211,0.32644628099173556,0.22644628099173555,pair
pair,"[{""col"": ""EW_AsOf_1d"", ""op"": ""=="", ""val"": ""2025-10-21 00:00""}, {""col"": ""EW_Direction_4h"", ""op"": ""=="", ""val"": ""down""}]",242,11.03128301824211,0.32644628099173556,0.22644628099173555,pair
pair,"[{""col"": ""EW_AsOf_1d"", ""op"": ""=="", ""val"": ""2025-10-21 00:00""}, {""col"": ""EW_WaveType_4h"", ""op"": ""=="", ""val"": ""ImpulseDown""}]",242,11.03128301824211,0.32644628099173556,0.22644628099173555,pair
pair,"[{""col"": ""EW_AsOf_1d"", ""op"": ""=="", ""val"": ""2025-10-21 00:00""}, {""col"": ""EW_Direction_1d"", ""op"": ""=="", ""val"": ""up""}]",168,10.593026164355106,0.32142857142857145,0.22142857142857145,pair
