Sembol,Analiz_Tarihi_str,Fiyat (Son),Alis_Fiyati_AnalizGunu,Beklenen_5g_Getiri_%,Tahmini_Risk_5g,Kural_ID_5g
ADEL,2025-10-22,28.94,28.94,10.585778974476295,7.971748785562235,combo_8
AFYON,2025-10-22,12.54,12.54,10.585778974476295,7.971748785562235,combo_8
AGROT,2025-10-22,7.24,7.24,10.585778974476295,7.971748785562235,combo_8
AKENR,2025-10-22,10.05,10.05,10.585778974476295,7.971748785562235,combo_8
AKFGY,2025-10-22,2.51,2.51,10.585778974476295,7.971748785562235,combo_8
AKFIS,2025-10-22,24.38,24.38,10.585778974476295,7.971748785562235,combo_8
AKSGY,2025-10-22,7.68,7.68,10.585778974476295,7.971748785562235,combo_8
ALCTL,2025-10-22,107.8,107.8,10.585778974476295,7.971748785562235,combo_8
ALFAS,2025-10-22,41.38,41.38,10.585778974476295,7.971748785562235,combo_8
ALKA,2025-10-22,12.4,12.4,10.585778974476295,7.971748785562235,combo_8
ALKIM,2025-10-22,18.78,18.78,10.585778974476295,7.971748785562235,combo_8
ALKLC,2025-10-22,87.9,87.9,10.585778974476295,7.971748785562235,combo_8
ALTNY,2025-10-22,61.7,61.7,10.585778974476295,7.971748785562235,combo_8
ALVES,2025-10-22,28.88,28.88,10.585778974476295,7.971748785562235,combo_8
ANELE,2025-10-22,15.75,15.75,10.585778974476295,7.971748785562235,combo_8
ANGEN,2025-10-22,11.51,11.51,10.585778974476295,7.971748785562235,combo_8
ARASE,2025-10-22,52.05,52.05,10.585778974476295,7.971748785562235,combo_8
ARDYZ,2025-10-22,24.94,24.94,10.585778974476295,7.971748785562235,combo_8
ARENA,2025-10-22,29.3,29.3,10.585778974476295,7.971748785562235,combo_8
ARSAN,2025-10-22,2.78,2.78,10.585778974476295,7.971748785562235,combo_8
ASUZU,2025-10-22,53.9,53.9,10.585778974476295,7.971748785562235,combo_8
ATATP,2025-10-22,128.5,128.5,10.585778974476295,7.971748785562235,combo_8
AVOD,2025-10-22,3.99,3.99,10.585778974476295,7.971748785562235,combo_8
AYDEM,2025-10-22,18.05,18.05,10.585778974476295,7.971748785562235,combo_8
AYEN,2025-10-22,26.0,26.0,10.585778974476295,7.971748785562235,combo_8
BAGFS,2025-10-22,31.02,31.02,10.585778974476295,7.971748785562235,combo_8
BAKAB,2025-10-22,36.0,36.0,10.585778974476295,7.971748785562235,combo_8
BALSU,2025-10-22,20.52,20.52,10.585778974476295,7.971748785562235,combo_8
BANVT,2025-10-22,179.5,179.5,10.585778974476295,7.971748785562235,combo_8
BAYRK,2025-10-22,34.46,34.46,10.585778974476295,7.971748785562235,combo_8
