Sembol,Analiz_Tarihi_str,Fiyat (Son),Alis_Fiyati_AnalizGunu,Beklenen_5g_Getiri_%,Tahmini_Risk_5g,Kural_ID_5g
ZRGYO,2025-10-21,22.1,22.1,11.03128301824211,8.224164660517097,combo_0
ZOREN,2025-10-21,3.24,3.24,11.03128301824211,8.224164660517097,combo_0
ZEDUR,2025-10-21,8.03,8.03,11.03128301824211,8.224164660517097,combo_0
YYLGD,2025-10-21,9.7,9.7,11.03128301824211,8.224164660517097,combo_0
YUNSA,2025-10-21,7.29,7.29,11.03128301824211,8.224164660517097,combo_0
YIGIT,2025-10-21,24.3,24.3,11.03128301824211,8.224164660517097,combo_0
ASUZU,2025-10-21,53.65,53.65,11.03128301824211,8.224164660517097,combo_0
ARSAN,2025-10-21,2.81,2.81,11.03128301824211,8.224164660517097,combo_0
ARENA,2025-10-21,29.26,29.26,11.03128301824211,8.224164660517097,combo_0
ARDYZ,2025-10-21,24.88,24.88,11.03128301824211,8.224164660517097,combo_0
ARASE,2025-10-21,51.55,51.55,11.03128301824211,8.224164660517097,combo_0
ANHYT,2025-10-21,97.05,97.05,11.03128301824211,8.224164660517097,combo_0
ANGEN,2025-10-21,11.44,11.44,11.03128301824211,8.224164660517097,combo_0
ANELE,2025-10-21,15.61,15.61,11.03128301824211,8.224164660517097,combo_0
ALVES,2025-10-21,29.18,29.18,11.03128301824211,8.224164660517097,combo_0
ALTNY,2025-10-21,62.0,62.0,11.03128301824211,8.224164660517097,combo_0
ALKLC,2025-10-21,94.0,94.0,11.03128301824211,8.224164660517097,combo_0
ALKIM,2025-10-21,18.7,18.7,11.03128301824211,8.224164660517097,combo_0
ALKA,2025-10-21,11.44,11.44,11.03128301824211,8.224164660517097,combo_0
BARMA,2025-10-21,18.96,18.96,11.03128301824211,8.224164660517097,combo_0
