Sembol,Tarih_5g,Fiyat (Son),Sinyal_5g,Skor (Al)_5g,Skor (Sat)_5g,Elmas Formasyonu_5g,AlphaTrend_5g,MA_5g,MACD_5g,MACD_Signal_5g,MACD_Positive_5g,RSI_5g,ADX_5g,OBV_Diff_5g,BB_Low_5g,BB_Mavg_5g,BB_High_5g,BB_W_5g,EMA20_gt_EMA50_gt_EMA200_5g,Dipten Uzaklık (%)_5g,ATH'ye Uzaklık (%)_5g,ATH Breakout_5g,ATH Dip Potansiyeli_5g,Cup&Handle Formasyonu_5g,Bull Flag Formasyonu_5g,TOBO Formasyonu_5g,Gelişmiş TOBO_5g,EMA5_137 Sinyal_5g,EMA5_137 Sinyal_Numeric_5g,EMA3_199 Sinyal_5g,EMA3_199 Sinyal_Numeric_5g,EMA3_200 Sinyal_5g,EMA3_200 Sinyal_Numeric_5g,CandleGoldenCross_Over_5g,Confirmed_BUY_5g,Confirmed_SELL_5g,CandleGoldenCross_Over_Confirmed_BUY_5g,Confirmed_SELL_CandleCrossUnder_5g,STOP Fiyat_5g,TP Fiyat_5g,Haftalık Değişim (%)_5g,Aylık Değişim (%)_5g,Ortalama Hacim (TL)_5g,F/K_5g,PD/DD_5g,Yorumlar_5g,PUANLAMA_V4_5g,TP Oran (%)_5g,Sinyal_Sort_5g,VolumeDeltaUp_Sort_5g,Formasyon_Sort_5g,FormasyonTazeKirilim_5g,BONUS_SCORE_5g,DipSkor_5g,ATHSkor_5g,OBVSkor_5g,TazeSkor_5g,FinalSkorEx_5g,__FDTT_NET_TL_5g,__FDTT_ADV7_TL_5g,KURUM_FDTT_SINYAL_5g,__AKD_1D_NET_TL_NORM_ND_5g,__AKD_3D_NET_TL_NORM_ND_5g,KURUM_AKD_SINYAL_5g,__AKD_PUAN_5g,__FDTT_PUAN_5g,__KURUM_PUAN_5g,AL_VETO_SHOCK_5g,__TURNOVER_1D_5g,__TURNOVER_3D_5g,__FF_MCAP_5g,AKD_NOTE_5g,KURUM_AKD_SKOR_5g,FinalSkorPlus_5g,__FDTT_NET_PP_5g,__FDTT_NET_TL_NORM_5g,__AKD_RECENCY_COMBO_5g,Analiz_Tarihi_str,Alis_Fiyati_AnalizGunu_5g,Max_Getiri_%_5g,Getiri_1Hafta_Sonu_%_5g,Zirve_Kayip_%_5g,Fiyat_EnYuksek_5Gun_5g,Fiyat_EnDusuk_5Gun_5g,Max_Getiri_5Gun_%_5g,Gun_EnYuksek_5g,Gun_EnDusuk_5g,Max_Getiri_15Gun_%_5g,Getiri_15Gun_Sonu_%_5g,Zirve_Kayip_15Gun_%_5g,Fiyat_EnYuksek_15Gun_5g,Fiyat_EnDusuk_15Gun_5g,SMA5_137_15m_Sinyal_5g,SMA5_137_15m_Sinyal_Numeric_5g,SMA5_137_15m_Sinyal_Filt_5g,SMA5_137_15m_Sinyal_Filt_Numeric_5g,SMA5_137_15m_CrossTime_5g,SMA5_137_15m_BarsSinceCross_5g,SMA5_137_1h_Sinyal_5g,SMA5_137_1h_Sinyal_Numeric_5g,SMA5_137_1h_Sinyal_Filt_5g,SMA5_137_1h_Sinyal_Filt_Numeric_5g,SMA5_137_1h_CrossTime_5g,SMA5_137_1h_BarsSinceCross_5g,SMA5_137_4h_Sinyal_5g,SMA5_137_4h_Sinyal_Numeric_5g,SMA5_137_4h_Sinyal_Filt_5g,SMA5_137_4h_Sinyal_Filt_Numeric_5g,SMA5_137_4h_CrossTime_5g,SMA5_137_4h_BarsSinceCross_5g,SMA5_137_1d_Sinyal_5g,SMA5_137_1d_Sinyal_Numeric_5g,SMA5_137_1d_Sinyal_Filt_5g,SMA5_137_1d_Sinyal_Filt_Numeric_5g,SMA5_137_1d_CrossTime_5g,SMA5_137_1d_BarsSinceCross_5g,EW_WaveType_1d_5g,EW_CurrentWave_1d_5g,EW_Phase_1d_5g,EW_LastPivotTime_1d_5g,EW_LastPivotPrice_1d_5g,EW_WaveType_4h_5g,EW_CurrentWave_4h_5g,EW_Phase_4h_5g,EW_LastPivotTime_4h_5g,EW_LastPivotPrice_4h_5g,EW_Direction_1d_5g,EW_AsOf_1d_5g,EW_Direction_4h_5g,EW_AsOf_4h_5g,Top_Grup_5g,Top_Grup_15Gun_5g,Beklenen_5g,Risk_5g,Kural_5g,Tarih_15g,Sinyal_15g,Skor (Al)_15g,Skor (Sat)_15g,Elmas Formasyonu_15g,AlphaTrend_15g,MA_15g,MACD_15g,MACD_Signal_15g,MACD_Positive_15g,RSI_15g,ADX_15g,OBV_Diff_15g,BB_Low_15g,BB_Mavg_15g,BB_High_15g,BB_W_15g,EMA20_gt_EMA50_gt_EMA200_15g,Dipten Uzaklık (%)_15g,ATH'ye Uzaklık (%)_15g,ATH Breakout_15g,ATH Dip Potansiyeli_15g,Cup&Handle Formasyonu_15g,Bull Flag Formasyonu_15g,TOBO Formasyonu_15g,Gelişmiş TOBO_15g,EMA5_137 Sinyal_15g,EMA5_137 Sinyal_Numeric_15g,EMA3_199 Sinyal_15g,EMA3_199 Sinyal_Numeric_15g,EMA3_200 Sinyal_15g,EMA3_200 Sinyal_Numeric_15g,CandleGoldenCross_Over_15g,Confirmed_BUY_15g,Confirmed_SELL_15g,CandleGoldenCross_Over_Confirmed_BUY_15g,Confirmed_SELL_CandleCrossUnder_15g,STOP Fiyat_15g,TP Fiyat_15g,Haftalık Değişim (%)_15g,Aylık Değişim (%)_15g,Ortalama Hacim (TL)_15g,F/K_15g,PD/DD_15g,Yorumlar_15g,PUANLAMA_V4_15g,TP Oran (%)_15g,Sinyal_Sort_15g,VolumeDeltaUp_Sort_15g,Formasyon_Sort_15g,FormasyonTazeKirilim_15g,BONUS_SCORE_15g,DipSkor_15g,ATHSkor_15g,OBVSkor_15g,TazeSkor_15g,FinalSkorEx_15g,__FDTT_NET_TL_15g,__FDTT_ADV7_TL_15g,KURUM_FDTT_SINYAL_15g,__AKD_1D_NET_TL_NORM_ND_15g,__AKD_3D_NET_TL_NORM_ND_15g,KURUM_AKD_SINYAL_15g,__AKD_PUAN_15g,__FDTT_PUAN_15g,__KURUM_PUAN_15g,AL_VETO_SHOCK_15g,__TURNOVER_1D_15g,__TURNOVER_3D_15g,__FF_MCAP_15g,AKD_NOTE_15g,KURUM_AKD_SKOR_15g,FinalSkorPlus_15g,__FDTT_NET_PP_15g,__FDTT_NET_TL_NORM_15g,__AKD_RECENCY_COMBO_15g,Alis_Fiyati_AnalizGunu_15g,Max_Getiri_%_15g,Getiri_1Hafta_Sonu_%_15g,Zirve_Kayip_%_15g,Fiyat_EnYuksek_5Gun_15g,Fiyat_EnDusuk_5Gun_15g,Max_Getiri_5Gun_%_15g,Gun_EnYuksek_15g,Gun_EnDusuk_15g,Max_Getiri_15Gun_%_15g,Getiri_15Gun_Sonu_%_15g,Zirve_Kayip_15Gun_%_15g,Fiyat_EnYuksek_15Gun_15g,Fiyat_EnDusuk_15Gun_15g,SMA5_137_15m_Sinyal_15g,SMA5_137_15m_Sinyal_Numeric_15g,SMA5_137_15m_Sinyal_Filt_15g,SMA5_137_15m_Sinyal_Filt_Numeric_15g,SMA5_137_15m_CrossTime_15g,SMA5_137_15m_BarsSinceCross_15g,SMA5_137_1h_Sinyal_15g,SMA5_137_1h_Sinyal_Numeric_15g,SMA5_137_1h_Sinyal_Filt_15g,SMA5_137_1h_Sinyal_Filt_Numeric_15g,SMA5_137_1h_CrossTime_15g,SMA5_137_1h_BarsSinceCross_15g,SMA5_137_4h_Sinyal_15g,SMA5_137_4h_Sinyal_Numeric_15g,SMA5_137_4h_Sinyal_Filt_15g,SMA5_137_4h_Sinyal_Filt_Numeric_15g,SMA5_137_4h_CrossTime_15g,SMA5_137_4h_BarsSinceCross_15g,SMA5_137_1d_Sinyal_15g,SMA5_137_1d_Sinyal_Numeric_15g,SMA5_137_1d_Sinyal_Filt_15g,SMA5_137_1d_Sinyal_Filt_Numeric_15g,SMA5_137_1d_CrossTime_15g,SMA5_137_1d_BarsSinceCross_15g,EW_WaveType_1d_15g,EW_CurrentWave_1d_15g,EW_Phase_1d_15g,EW_LastPivotTime_1d_15g,EW_LastPivotPrice_1d_15g,EW_WaveType_4h_15g,EW_CurrentWave_4h_15g,EW_Phase_4h_15g,EW_LastPivotTime_4h_15g,EW_LastPivotPrice_4h_15g,EW_Direction_1d_15g,EW_AsOf_1d_15g,EW_Direction_4h_15g,EW_AsOf_4h_15g,Top_Grup_15g,Top_Grup_15Gun_15g,Beklenen_15g,Risk_15g,Kural_15g,Secim_Skoru
ALKA,2025-10-21,11.44,-50,0,4,0,12.53,11.76,0.01,0.33,0,48.88,37.75,2087376.0,9.4,12.77,16.14,52.83,1,87.23,28.46,0,100,0,0,0,0,,,,,,,0,0,1,0,0,9.86,13.02,-0.78,-13.46,178959385,0.0,4.34,"EMA20 > EMA50 > EMA200 (Güçlü trend) | ATR Oranı yüksek (9.22%) | ATR STOP: 9.86, TP: 13.02 | 1H:%-0.78 | 1A:%-13.46 | Confirmed SELL (alphaTrend teyidi)",3,13.81,0,0,0,0,0,-87.23,-28.46,2087376.0,0,-75.38,,,,,,,,,,,,,,,,,,,,2025-10-21,11.44,8.391608391608399,-4.020979020979013,11.451612903225804,12.4,10.98,8.391608391608399,1,5,8.391608391608399,-21.41608391608391,27.500000000000004,12.4,8.99,-,0.0,AL,50.0,2025-10-21 08:00,27.0,-,0.0,SAT,-50.0,2025-10-06 08:30,105.0,-,0.0,AL,50.0,2025-07-01 04:00,239.0,-,0.0,AL,50.0,2025-07-22 00:00,65.0,ImpulseUp,4,Orta,2025-09-29 00:00,17.1,ImpulseDown,4,Orta,2025-10-17 12:00,10.7,up,2025-10-21 00:00,down,2025-10-21 12:00,0,0,11.03128301824211,8.224164660517097,combo_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.03128301824211
ALKIM,2025-10-21,18.7,-50,0,4,0,20.13,19.86,-0.16,0.3,0,42.67,32.8,-1447494.0,17.91,20.73,23.55,27.24,1,35.12,21.63,0,100,1,0,0,0,,,,,,,0,0,1,0,0,17.08,20.32,-5.32,-6.12,164557434,0.0,1.38,"EMA20 > EMA50 > EMA200 (Güçlü trend) | ATR Oranı düşük (5.78%) | Gelişmiş Cup & Handle | ATR STOP: 17.08, TP: 20.32 | 1H:%-5.32 | 1A:%-6.12 | Confirmed SELL (alphaTrend teyidi)",2,8.66,0,0,1,0,0,-35.12,-21.63,-1447494.0,0,-28.74,,,,,,,,,,,,,,,,,,,,2025-10-21,18.7,3.7433155080213862,-0.5347593582887586,4.123711340206171,19.4,18.6,3.7433155080213862,4,5,3.7433155080213862,-15.294117647058822,18.35051546391752,19.4,15.74,-,0.0,SAT,-50.0,2025-10-15 12:15,142.0,-,0.0,SAT,-50.0,2025-10-07 06:30,98.0,-,0.0,SAT,-50.0,2025-10-17 04:00,8.0,-,0.0,AL,50.0,2025-07-08 00:00,74.0,ImpulseUp,2,Orta,2025-08-19 00:00,20.02,ImpulseDown,5,Orta,2025-10-20 12:00,19.12,up,2025-10-21 00:00,down,2025-10-21 12:00,0,0,11.03128301824211,8.224164660517097,combo_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.03128301824211
ALKLC,2025-10-21,94.0,0,0,0,0,89.99,91.45,3.15,3.45,0,57.49,30.22,-5272458.0,83.1,91.12,99.14,17.6,1,277.3,3.19,0,0,1,0,0,0,,,,,,,0,0,0,0,0,86.35,101.65,-1.78,7.8,329195323,0.0,4.77,"EMA20 > EMA50 > EMA200 (Güçlü trend) | ATR Oranı düşük (5.43%) | Gelişmiş Cup & Handle | ATR STOP: 86.35, TP: 101.65 | 1H:%-1.78 | 1A:%7.8",2,8.14,0,0,1,0,0,-277.3,-3.19,-5272458.0,0,-268.43,,,,,,,,,,,,,,,,,,,,2025-10-21,94.0,2.127659574468085,-10.478723404255314,12.343749999999991,96.0,84.15,2.127659574468085,2,5,16.808510638297868,7.446808510638298,8.014571948998176,109.8,67.45,-,0.0,SAT,-50.0,2025-10-21 08:30,25.0,-,0.0,AL,50.0,2025-09-16 13:30,226.0,-,0.0,AL,50.0,2025-07-01 12:00,237.0,-,0.0,AL,50.0,2025-06-26 00:00,82.0,ImpulseUp,5,Başlangıç,2025-09-12 00:00,73.29,ImpulseDown,3,Orta,2025-10-15 08:00,98.6,up,2025-10-21 00:00,down,2025-10-21 12:00,0,0,11.03128301824211,8.224164660517097,combo_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.03128301824211
ALTNY,2025-10-21,62.0,-50,0,4,0,66.39,69.45,-2.96,-1.92,0,22.88,23.64,-4972143.0,62.72,70.58,78.43,22.26,0,0.0,38.49,0,100,1,0,1,0,,,,,,,0,0,1,0,0,58.69,65.31,-8.15,-20.72,291987188,30.392157,3.62,"ATR Oranı düşük (3.56%) | Gelişmiş TOBO formasyonu | Gelişmiş Cup & Handle | ATR STOP: 58.69, TP: 65.31 | 1H:%-8.15 | 1A:%-20.72 | Confirmed SELL (alphaTrend teyidi)",2,5.34,0,0,1,0,0,-0.0,-38.49,-4972143.0,0,1.88,,,,,,,,,,,,,,,,,,,,2025-10-21,62.0,11.93548387096775,6.854838709677419,4.538904899135455,69.4,61.7,11.93548387096775,3,1,11.93548387096775,-1.8548387096774173,12.319884726224789,69.4,60.85,-,0.0,SAT,-50.0,2025-10-09 07:15,294.0,-,0.0,SAT,-50.0,2025-09-26 09:30,158.0,-,0.0,SAT,-50.0,2025-07-31 04:00,176.0,-,0.0,SAT,-50.0,2025-08-05 00:00,55.0,ImpulseDown,3,Düşüş Başlangıcı,2025-08-25 00:00,79.6,ImpulseDown,5,Düşüş Başlangıcı,2025-10-21 04:00,64.85,down,2025-10-21 00:00,down,2025-10-21 12:00,0,0,11.03128301824211,8.224164660517097,combo_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.03128301824211
ALVES,2025-10-21,29.18,0,0,0,0,29.27,29.41,-1.0,-1.1,1,45.98,21.43,7433485.0,26.17,29.55,32.93,22.88,0,9.45,30.42,0,100,0,0,0,0,,,,,,,0,0,0,0,0,27.37,30.99,1.67,-14.13,138024286,35.156628,1.96,"ATR Oranı düşük (4.13%) | ATR STOP: 27.37, TP: 30.99 | 1H:%1.67 | 1A:%-14.13 | Volume Delta pozitif",3,6.2,0,1,0,0,0,-9.45,-30.42,7433485.0,0,3.18,,,,,,,,,,,,,,,,,,,,2025-10-21,29.18,-1.0281014393420174,-1.5078821110349598,0.48476454293629,28.88,26.82,-1.0281014393420174,1,3,-1.0281014393420174,-19.05414667580534,18.21329639889196,28.88,23.62,-,0.0,AL,50.0,2025-10-20 09:45,53.0,-,0.0,AL,50.0,2025-10-21 12:30,2.0,-,0.0,SAT,-50.0,2025-09-26 12:00,51.0,-,0.0,SAT,-50.0,2025-10-02 00:00,13.0,ImpulseDown,2,Orta,2025-06-26 00:00,26.26,ImpulseDown,3,Orta,2025-10-06 04:00,29.62,down,2025-10-21 00:00,down,2025-10-21 12:00,0,0,11.03128301824211,8.224164660517097,combo_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.03128301824211
ANELE,2025-10-21,15.61,-100,0,3,0,16.49,16.74,-1.32,-1.51,1,34.0,37.79,-1108949.0,13.82,16.55,19.28,32.98,0,18.08,38.98,0,100,0,0,1,0,,,,,,,0,0,0,0,0,14.26,16.96,1.96,-27.4,42275033,9.347305,1.56,"ATR Oranı düşük (5.77%) | Gelişmiş TOBO formasyonu | ATR STOP: 14.26, TP: 16.96 | 1H:%1.96 | 1A:%-27.4",4,8.65,0,0,1,0,0,-18.08,-38.98,-1108949.0,0,-6.88,,,,,,,,,,,,,,,,,,,,2025-10-21,15.61,5.957719410634208,1.857783472133254,3.8694074969770185,16.54,15.75,5.957719410634208,2,1,5.957719410634208,0.0640614990390761,5.562273276904474,16.54,15.5,-,0.0,AL,50.0,2025-10-17 09:30,87.0,-,0.0,SAT,-50.0,2025-09-05 09:30,293.0,-,0.0,SAT,-50.0,2025-09-18 12:00,69.0,-,0.0,SAT,-50.0,2025-10-02 00:00,13.0,ImpulseDown,3,Düşüş Başlangıcı,2025-06-30 00:00,17.87,ImpulseDown,3,Başlangıç,2025-10-16 08:00,15.67,down,2025-10-21 00:00,down,2025-10-21 12:00,0,0,11.03128301824211,8.224164660517097,combo_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.03128301824211
ANGEN,2025-10-21,11.44,-50,0,4,0,12.24,11.98,-0.22,-0.06,0,42.34,27.25,-1879641.0,10.91,12.19,13.46,20.99,0,17.33,25.67,0,100,1,0,0,0,,,,,,,0,0,0,0,0,10.52,12.36,-1.38,-8.63,96078499,0.0,1.53,"ATR Oranı düşük (5.38%) | Gelişmiş Cup & Handle | ATR STOP: 10.52, TP: 12.36 | 1H:%-1.38 | 1A:%-8.63",3,8.04,0,0,1,0,0,-17.33,-25.67,-1879641.0,0,-8.05,,,,,,,,,,,,,,,,,,,,2025-10-21,11.44,11.013986013986012,6.2937062937063,4.251968503937001,12.7,11.51,11.013986013986012,4,1,11.013986013986012,-0.7867132867132856,10.629921259842517,12.7,11.2,-,0.0,AL,50.0,2025-10-21 13:00,7.0,-,0.0,SAT,-50.0,2025-10-09 08:30,78.0,-,0.0,SAT,-50.0,2025-10-13 04:00,20.0,-,0.0,AL,50.0,2025-08-05 00:00,55.0,ImpulseDown,2,Başlangıç,2025-08-15 00:00,11.55,ImpulseDown,2,Başlangıç,2025-10-01 04:00,12.09,down,2025-10-21 00:00,down,2025-10-21 12:00,0,0,11.03128301824211,8.224164660517097,combo_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.03128301824211
ANHYT,2025-10-21,97.05,50,4,0,0,89.59,91.56,1.78,1.61,1,63.08,26.98,2210674.0,86.57,91.45,96.33,10.68,1,36.69,8.34,0,0,1,0,0,0,,,,,,,0,0,0,0,0,91.22,102.88,4.35,5.66,101249536,9.053172,4.13,"EMA20 > EMA50 > EMA200 (Güçlü trend) | ATR Oranı düşük (4.01%) | Gelişmiş Cup & Handle | ATR STOP: 91.22, TP: 102.88 | 1H:%4.35 | 1A:%5.66 | Volume Delta pozitif",7,6.01,2,1,1,0,0,-36.69,-8.34,2210674.0,0,-4.8,,,,,,,,,,,,,,,,,,,,2025-10-21,97.05,9.5311695002576,9.5311695002576,0.0,106.3,96.95,9.5311695002576,5,1,9.5311695002576,0.4121586810922263,8.325493885230474,106.3,95.45,-,0.0,AL,50.0,2025-10-20 10:00,52.0,-,0.0,AL,50.0,2025-10-17 13:30,19.0,-,0.0,AL,50.0,2025-09-15 12:00,78.0,-,0.0,AL,50.0,2025-09-16 00:00,25.0,ImpulseUp,2,Düşüş Başlangıcı,2025-09-01 00:00,89.6,ImpulseDown,2,Yükseliş Başlangıcı,2025-10-06 08:00,86.65,up,2025-10-21 00:00,down,2025-10-21 12:00,0,0,11.03128301824211,8.224164660517097,combo_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.03128301824211
ARASE,2025-10-21,51.55,-50,0,4,0,53.52,53.09,-1.1,-0.98,0,41.77,26.63,-168997.0,49.47,53.46,57.46,14.94,0,39.07,13.22,0,0,1,0,1,0,,,,,,,0,0,0,0,0,48.84,54.26,-2.09,-12.03,18845736,24.547619,0.74,"ATR Oranı düşük (3.51%) | Gelişmiş TOBO formasyonu | Gelişmiş Cup & Handle | ATR STOP: 48.84, TP: 54.26 | 1H:%-2.09 | 1A:%-12.03",3,5.26,0,0,1,0,0,-39.07,-13.22,-168997.0,0,-25.68,,,,,,,,,,,,,,,,,,,,2025-10-21,51.55,13.288069835111546,13.288069835111546,0.0,58.4,52.05,13.288069835111546,5,1,27.352085354025235,17.36178467507275,7.844630616907852,65.65,52.05,-,0.0,AL,50.0,2025-10-20 09:45,53.0,-,0.0,SAT,-50.0,2025-09-26 14:30,153.0,-,0.0,SAT,-50.0,2025-09-29 08:00,49.0,-,0.0,AL,50.0,2025-06-11 00:00,93.0,ImpulseDown,2,Yükseliş Başlangıcı,2025-07-29 00:00,47.89,ImpulseDown,5,Orta,2025-10-21 08:00,52.4,down,2025-10-21 00:00,down,2025-10-21 12:00,1,1,11.03128301824211,8.224164660517097,combo_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.03128301824211
ARDYZ,2025-10-21,24.88,-50,0,4,0,26.4,25.81,-0.62,-0.58,0,39.76,13.53,-2055143.0,24.36,25.8,27.24,11.18,0,2.89,41.38,0,100,0,0,0,0,,,,,,,0,0,1,0,0,23.39,26.37,-2.66,-11.4,70943059,9.1470585,1.22,"ATR Oranı düşük (4.0%) | ATR STOP: 23.39, TP: 26.37 | 1H:%-2.66 | 1A:%-11.4 | Confirmed SELL (alphaTrend teyidi)",0,5.99,0,0,0,0,0,-2.89,-41.38,-2055143.0,0,-8.88,,,,,,,,,,,,,,,,,,,,2025-10-21,24.88,16.961414790996795,14.308681672025733,2.2680412371134024,29.1,24.94,16.961414790996795,4,1,26.12540192926045,20.980707395498403,4.079031230082848,31.38,24.94,-,0.0,SAT,-50.0,2025-10-21 08:00,27.0,-,0.0,SAT,-50.0,2025-10-08 11:30,84.0,-,0.0,SAT,-50.0,2025-08-27 12:00,117.0,-,0.0,SAT,-50.0,2025-08-29 00:00,37.0,ImpulseDown,3,Düşüş Başlangıcı,2025-09-17 00:00,29.0,ImpulseDown,2,Başlangıç,2025-10-07 04:00,25.16,down,2025-10-21 00:00,down,2025-10-21 12:00,1,1,11.03128301824211,8.224164660517097,combo_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.03128301824211
