Sembol,Tarih,Fiyat (Son),Sinyal,Skor (Al),Skor (Sat),Elmas Formasyonu,AlphaTrend,MA,MACD,MACD_Signal,MACD_Positive,RSI,ADX,OBV_Diff,BB_Low,BB_Mavg,BB_High,BB_W,EMA20_gt_EMA50_gt_EMA200,Dipten Uzaklık (%),ATH'ye Uzaklık (%),ATH Breakout,ATH Dip Potansiyeli,Cup&Handle Formasyonu,Bull Flag Formasyonu,TOBO Formasyonu,Gelişmiş TOBO,EW_WaveType_1d,EW_CurrentWave_1d,EW_Phase_1d,EW_LastPivotTime_1d,EW_LastPivotPrice_1d,EW_WaveType_4h,EW_CurrentWave_4h,EW_Phase_4h,EW_LastPivotTime_4h,EW_LastPivotPrice_4h,EW_Direction_1d,EW_AsOf_1d,EW_Direction_4h,EW_AsOf_4h,EMA5_137 Sinyal,EMA5_137 Sinyal_Numeric,EMA3_199 Sinyal,EMA3_199 Sinyal_Numeric,EMA3_200 Sinyal,EMA3_200 Sinyal_Numeric,SMA5_137_15m_Sinyal,SMA5_137_15m_Sinyal_Numeric,SMA5_137_15m_Sinyal_Filt,SMA5_137_15m_Sinyal_Filt_Numeric,SMA5_137_15m_CrossTime,SMA5_137_15m_BarsSinceCross,SMA5_137_1h_Sinyal,SMA5_137_1h_Sinyal_Numeric,SMA5_137_1h_Sinyal_Filt,SMA5_137_1h_Sinyal_Filt_Numeric,SMA5_137_1h_CrossTime,SMA5_137_1h_BarsSinceCross,SMA5_137_4h_Sinyal,SMA5_137_4h_Sinyal_Numeric,SMA5_137_4h_Sinyal_Filt,SMA5_137_4h_Sinyal_Filt_Numeric,SMA5_137_4h_CrossTime,SMA5_137_4h_BarsSinceCross,SMA5_137_1d_Sinyal,SMA5_137_1d_Sinyal_Numeric,SMA5_137_1d_Sinyal_Filt,SMA5_137_1d_Sinyal_Filt_Numeric,SMA5_137_1d_CrossTime,SMA5_137_1d_BarsSinceCross,CandleGoldenCross_Over,Confirmed_BUY,Confirmed_SELL,CandleGoldenCross_Over_Confirmed_BUY,Confirmed_SELL_CandleCrossUnder,STOP Fiyat,TP Fiyat,Haftalık Değişim (%),Aylık Değişim (%),Ortalama Hacim (TL),F/K,PD/DD,Yorumlar,PUANLAMA_V4,TP Oran (%),Sinyal_Sort,VolumeDeltaUp_Sort,Formasyon_Sort,FormasyonTazeKirilim,BONUS_SCORE,DipSkor,ATHSkor,OBVSkor,TazeSkor,FinalSkorEx,__FDTT_NET_TL,__FDTT_ADV7_TL,KURUM_FDTT_SINYAL,__AKD_1D_NET_TL_NORM_ND,__AKD_3D_NET_TL_NORM_ND,KURUM_AKD_SINYAL,__AKD_PUAN,__FDTT_PUAN,__KURUM_PUAN,AL_VETO_SHOCK,__TURNOVER_1D,__TURNOVER_3D,__FF_MCAP,AKD_NOTE,GUNLUK_FARK,__FDTT_NET_PP,__FDTT_NET_TL_NORM,__AKD_RECENCY_COMBO,KURUM_AKD_SKOR,FinalSkorPlus
ACSEL,2025-12-16,101.70,0,0,0,0,103.15,103.60,-1.16,-1.55,1,43.11,15.73,-121078.00,98.47,102.26,106.05,7.41,0,5.17,26.14,0,100,1,0,1,0,ImpulseDown,5,Orta,2025-12-08 00:00,108.30,ImpulseDown,2,Başlangıç,2025-12-05 04:00,100.4,down,2025-12-16 00:00,down,2025-12-16 12:00,-,0,-,0,-,0,-,0,SAT,-50,2025-12-12 10:00,85,-,0,SAT,-50,2025-12-15 13:30,10,-,0,SAT,-50,2025-09-29 04:00,166,-,0,SAT,-50,2025-11-11 00:00,25,0,0,0,0,0,96.11,107.29,-2.68,-3.97,16149894,0,2.02,"ATR Oranı düşük (3.66%) | Gelişmiş TOBO formasyonu | Gelişmiş Cup & Handle | ATR STOP: 96.11, TP: 107.29 | 1H:%-2.68 | 1A:%-3.97",3,5.50,0,0,1,0,0,-5.17,-26.14,-121078.00,0,6.65,184688449.27,20105822.57,True,-0.01,-0.02,False,0.00,3.00,1.00,False,0.02,0.08,525512579.40,AKD nötr/negatif,-0.49,35.14,9.19,-0.01,16.00,22.65
ADEL,2025-12-16,31.36,-50,0,4,0,32.00,31.63,-0.10,0.04,0,48.04,29.64,758780.00,29.25,32.24,35.24,18.59,0,21.52,23.80,0,100,1,0,0,0,ImpulseUp,4,Orta,2025-11-25 00:00,37.98,ImpulseDown,3,Orta,2025-12-10 04:00,31.76,up,2025-12-16 00:00,down,2025-12-16 12:00,-,0,-,0,-,0,-,0,AL,50,2025-12-16 12:45,8,-,0,SAT,-50,2025-12-04 08:30,78,-,0,AL,50,2025-12-11 12:00,9,-,0,SAT,-50,2025-12-09 00:00,5,0,0,0,0,0,29.46,33.26,1.36,4.53,81664920,0,5.67,"ATR Oranı düşük (4.04%) | Gelişmiş Cup & Handle | ATR STOP: 29.46, TP: 33.26 | 1H:%1.36 | 1A:%4.53",5,6.06,0,0,1,0,0,-21.52,-23.80,758780.00,0,-0.66,-221348588.88,30970550.43,False,0.04,0.01,False,0.00,-3.00,-1.00,False,0.01,0.04,2249661908.48,AKD nötr/negatif,0.19,-9.84,-7.15,0.03,-10.00,-10.66
ADGYO,2025-12-16,46.88,100,3,0,0,47.79,46.46,-0.55,-0.76,1,50.47,14.38,1990932.00,44.01,46.38,48.74,10.20,0,75.45,20.88,0,100,1,0,1,0,ImpulseDown,5,Orta,2025-11-26 00:00,51.75,None,-,Orta,,,down,2025-12-16 00:00,,,-,0,-,0,-,0,-,0,AL,50,2025-12-16 08:15,26,-,0,-,0,,,-,0,-,0,,,-,0,-,0,,,0,0,0,0,0,43.58,50.18,4.64,-3.06,38036356,20.561405,1.53,"ATR Oranı düşük (4.7%) | Gelişmiş TOBO formasyonu | Gelişmiş Cup & Handle | ATR STOP: 43.58, TP: 50.18 | 1H:%4.64 | 1A:%-3.06 | Volume Delta pozitif",5,7.04,1,1,1,1,0,-75.45,-20.88,1990932.00,5,-48.48,1286516960.27,28570823.86,True,0.01,0.01,False,0.00,3.00,1.00,False,0.02,0.04,3858766448.48,AKD nötr/negatif,2.36,33.34,45.03,0.01,15.00,-33.48
AFYON,2025-12-16,13.39,0,0,0,0,13.29,13.27,0.12,0.08,1,56.76,12.74,-2306266.00,12.79,13.21,13.63,6.42,0,14.05,17.35,0,0,0,0,1,0,ImpulseUp,3,Başlangıç,2025-11-11 00:00,12.62,ImpulseUp,2,Düşüş Başlangıcı,2025-12-03 12:00,13.35,up,2025-12-16 00:00,up,2025-12-16 12:00,-,0,SAT,-50,SAT,-50,-,0,SAT,-50,2025-12-15 10:00,52,-,0,AL,50,2025-12-05 10:30,67,-,0,AL,50,2025-11-27 08:00,40,-,0,AL,50,2025-12-11 00:00,3,0,0,0,0,0,13.06,13.72,-1.25,2.61,36333144,18.859156,0.75,"ATR Oranı düşük (1.66%) | Gelişmiş TOBO formasyonu | ATR STOP: 13.06, TP: 13.72 | 1H:%-1.25 | 1A:%2.61",1,2.46,0,0,1,0,0,-14.05,-17.35,-2306266.00,0,-10.81,1208630505.08,55029397.00,True,0.08,0.00,True,2.00,3.00,2.00,False,0.01,0.04,2623159005.48,AKD pozitif (1g norm),-0.37,46.08,21.96,0.06,51.00,40.19
AGROT,2025-12-16,6.93,-50,0,4,0,7.14,7.12,-0.13,-0.12,0,39.18,11.61,-4469661.00,6.60,7.19,7.79,16.63,0,3.43,46.15,0,100,0,0,1,0,ImpulseUp,3,Yükseliş Başlangıcı,2025-11-28 00:00,6.87,None,-,Orta,,,up,2025-12-16 00:00,,,-,0,-,0,-,0,-,0,SAT,-50,2025-12-08 10:00,217,-,0,-,0,,,-,0,-,0,,,-,0,SAT,-50,2025-11-25 00:00,15,0,0,1,0,0,6.58,7.28,-0.29,-9.06,127185007,0,1.09,"ATR Oranı düşük (3.34%) | Gelişmiş TOBO formasyonu | ATR STOP: 6.58, TP: 7.28 | 1H:%-0.29 | 1A:%-9.06 | Confirmed SELL (alphaTrend teyidi)",1,5.05,0,0,1,0,0,-3.43,-46.15,-4469661.00,0,-6.72,512658069.16,254275106.86,True,-0.00,0.02,False,0.00,3.00,1.00,False,0.01,0.05,2671833294.90,AKD nötr/negatif,-0.14,19.19,2.02,0.00,11.00,4.28
AHGAZ,2025-12-16,23.82,-50,0,4,0,25.35,25.56,-0.78,-0.64,0,32.18,12.80,-2469095.00,23.73,25.78,27.84,15.91,0,41.11,34.56,0,100,1,0,0,0,ImpulseDown,3,Düşüş Başlangıcı,2025-11-11 00:00,29.46,ImpulseDown,3,Düşüş Başlangıcı,2025-12-02 08:00,27.0,down,2025-12-16 00:00,down,2025-12-16 12:00,-,0,-,0,-,0,-,0,SAT,-50,2025-12-03 09:00,320,-,0,SAT,-50,2025-11-26 14:30,126,-,0,SAT,-50,2025-09-23 12:00,176,-,0,SAT,-50,2025-11-06 00:00,28,0,0,1,0,0,22.44,25.20,-4.26,-11.32,118642153,27.37931,1.38,"ATR Oranı düşük (3.87%) | Gelişmiş Cup & Handle | ATR STOP: 22.44, TP: 25.2 | 1H:%-4.26 | 1A:%-11.32 | Confirmed SELL (alphaTrend teyidi)",1,5.79,0,0,1,0,0,-41.11,-34.56,-2469095.00,0,-41.44,3903072644.42,85845813.00,True,-0.03,0.01,False,0.00,3.00,1.00,False,0.01,0.02,10743580477.32,AKD nötr/negatif,-2.85,36.33,45.47,-0.02,13.00,-28.44
AHSGY,2025-12-16,14.64,50,4,0,0,14.26,14.24,0.20,0.16,1,55.07,23.34,-4053495.00,13.40,14.33,15.27,13.04,1,189.67,7.80,0,0,1,0,0,0,ImpulseDown,2,Yükseliş Başlangıcı,2025-09-25 00:00,10.70,ImpulseUp,2,Düşüş Başlangıcı,2025-12-05 04:00,14.67,down,2025-12-16 00:00,up,2025-12-16 12:00,-,0,-,0,-,0,-,0,AL,50,2025-12-12 14:45,66,-,0,AL,50,2025-12-15 08:30,15,-,0,AL,50,2025-07-16 04:00,325,-,0,AL,50,2025-07-21 00:00,106,0,0,0,0,0,13.10,16.18,4.95,-0.52,49300147,0,1.52,"EMA20 > EMA50 > EMA200 (Güçlü trend) | ATR Oranı düşük (7.04%) | Gelişmiş Cup & Handle | ATR STOP: 13.1, TP: 16.18 | 1H:%4.95 | 1A:%-0.52",5,10.52,2,0,1,0,0,-189.67,-7.80,-4053495.00,0,-169.16,6745393247.16,36150078.00,True,-0.09,-0.03,False,-2.00,3.00,0.00,False,0.02,0.06,2708020750.80,AKD nötr/negatif,-4.81,249.09,186.59,-0.07,-10.00,-179.16
AKBNK,2025-12-16,71.30,50,4,0,0,68.20,66.54,2.56,2.10,1,74.43,38.23,71275588.00,59.92,66.04,72.16,18.53,1,47.01,2.94,100,0,0,0,0,0,ImpulseUp,2,Düşüş Başlangıcı,2025-09-22 00:00,68.75,ImpulseUp,3,Başlangıç,2025-12-04 12:00,63.95,up,2025-12-16 00:00,up,2025-12-16 12:00,-,0,-,0,-,0,-,0,AL,50,2025-12-12 14:00,69,-,0,AL,50,2025-11-19 09:30,176,-,0,AL,50,2025-11-20 04:00,56,-,0,AL,50,2025-11-25 00:00,15,0,1,0,0,0,68.46,74.14,3.86,22.19,8557873960,7.6997843,1.34,"EMA20 > EMA50 > EMA200 (Güçlü trend) | ATH Breakout! (uzaklık %2.94) | ATR Oranı düşük (2.65%) | ATR STOP: 68.46, TP: 74.14 | 1H:%3.86 | 1A:%22.19 | Confirmed BUY (alphaTrend teyidi)",8,3.98,2,0,0,0,0,-47.01,-2.94,71275588.00,0,-7.80,39122682897.16,8348615445.86,True,0.05,0.08,False,2.00,3.00,2.00,False,0.03,0.08,198943423955.00,AKD nötr/negatif,0.42,19.67,4.69,0.06,29.00,21.20
AKENR,2025-12-16,12.20,0,0,0,0,11.51,11.37,0.22,0.08,1,61.01,37.64,-35681623.00,10.05,11.54,13.03,25.82,0,37.85,15.16,0,0,0,0,0,0,ImpulseUp,2,Düşüş Başlangıcı,2025-11-05 00:00,12.24,ImpulseDown,4,Başlangıç,2025-12-11 08:00,10.48,up,2025-12-16 00:00,down,2025-12-16 12:00,-,0,-,0,-,0,-,0,AL,50,2025-12-11 13:45,103,-,0,AL,50,2025-12-12 07:30,25,-,0,AL,50,2025-12-12 04:00,8,-,0,AL,50,2025-12-15 00:00,1,0,1,0,0,0,11.11,13.29,15.42,10.41,353253973,0,0.55,"ATR Oranı düşük (5.97%) | ATR STOP: 11.11, TP: 13.29 | 1H:%15.42 | 1A:%10.41 | Confirmed BUY (alphaTrend teyidi)",5,8.93,0,0,0,0,0,-37.85,-15.16,-35681623.00,0,-20.42,-19748680.43,264947220.71,False,0.01,-0.01,False,0.00,0.00,0.00,False,0.19,0.83,2246664123.40,AKD nötr/negatif,-0.81,-0.88,-0.07,0.01,16.00,-4.42
AKFGY,2025-12-16,2.71,0,0,0,0,2.69,2.72,0.02,0.02,1,49.64,10.09,-22944968.00,2.66,2.72,2.78,4.47,1,54.86,11.44,0,0,1,0,0,0,ImpulseUp,2,Orta,2025-09-22 00:00,2.83,ImpulseUp,5,Orta,2025-12-10 08:00,2.7,up,2025-12-16 00:00,up,2025-12-16 12:00,-,0,-,0,-,0,-,0,SAT,-50,2025-12-16 08:30,25,-,0,SAT,-50,2025-12-16 12:30,2,-,0,AL,50,2025-11-03 04:00,95,-,0,AL,50,2025-10-30 00:00,33,0,0,0,0,0,2.60,2.82,-1.45,-0.73,71624196,10.037037,0.35,"EMA20 > EMA50 > EMA200 (Güçlü trend) | ATR Oranı düşük (2.74%) | Gelişmiş Cup & Handle | ATR STOP: 2.6, TP: 2.82 | 1H:%-1.45 | 1A:%-0.73",1,4.06,0,0,1,0,0,-54.86,-11.44,-22944968.00,0,-52.46,2286107093.11,82538276.86,True,-0.15,-0.02,False,-4.00,3.00,-1.00,True,0.01,0.04,4674751010.83,AKD/Taban veto,-2.17,48.90,27.70,-0.11,-82.00,-134.46
